0.410,0.451,0.020,0.000,0.150,0.546,0.009
0.400,0.231,0.000,0.010,0.150,0.428,0.000
0.406,0.380,0.013,0.021,0.150,0.785,0.003
0.407,0.380,0.013,0.031,0.150,0.962,0.000
0.400,0.085,0.000,0.042,0.150,0.897,0.000
0.412,0.481,0.023,0.052,0.150,0.736,0.006
0.400,0.255,0.001,0.062,0.150,0.024,0.001
0.400,0.198,0.000,0.073,0.150,0.688,0.000
0.400,0.176,0.000,0.083,0.150,0.622,0.000
0.400,0.112,0.000,0.094,0.150,0.098,0.000
0.406,0.363,0.011,0.104,0.150,0.071,0.011
0.403,0.319,0.007,0.115,0.150,0.942,0.000
0.400,0.094,0.000,0.125,0.150,0.810,0.000
0.400,0.066,0.000,0.135,0.150,0.424,0.000
0.408,0.408,0.016,0.146,0.150,0.580,0.007
0.400,0.077,0.000,0.156,0.150,0.698,0.000
0.402,0.288,0.004,0.167,0.150,0.355,0.002
0.402,0.296,0.005,0.177,0.150,0.612,0.002
0.410,0.443,0.019,0.187,0.150,0.297,0.014
0.400,0.132,0.000,0.198,0.150,0.376,0.000
0.400,0.072,0.000,0.208,0.150,0.560,0.000
0.400,0.138,0.000,0.219,0.150,0.952,0.000
0.400,0.044,0.000,0.229,0.150,0.093,0.000
0.400,0.037,0.000,0.240,0.150,0.112,0.000
0.401,0.268,0.002,0.250,0.150,0.835,0.000
0.411,0.258,0.022,0.260,0.150,0.692,0.007
0.409,0.214,0.018,0.271,0.150,0.901,0.002
0.450,0.470,0.100,0.281,0.150,0.592,0.041
0.406,0.073,0.012,0.292,0.150,0.961,0.000
0.474,0.056,0.149,0.302,0.150,0.435,0.084
0.495,0.307,0.190,0.312,0.150,0.490,0.097
0.542,0.280,0.283,0.323,0.150,0.296,0.199
0.577,0.462,0.354,0.333,0.150,0.259,0.262
0.615,0.107,0.431,0.344,0.150,0.088,0.393
0.559,0.388,0.317,0.354,0.150,0.477,0.166
0.602,0.055,0.403,0.365,0.150,0.299,0.283
0.654,0.108,0.508,0.375,0.150,0.180,0.417
0.730,0.221,0.659,0.385,0.150,0.007,0.654
0.496,0.121,0.193,0.396,0.150,0.788,0.041
0.699,0.115,0.598,0.406,0.150,0.200,0.478
0.473,0.196,0.146,0.417,0.150,0.896,0.015
0.622,0.145,0.443,0.427,0.150,0.493,0.225
0.458,0.410,0.116,0.437,0.150,0.980,0.002
0.480,0.334,0.160,0.448,0.150,0.919,0.013
0.489,0.474,0.178,0.458,0.150,0.920,0.014
0.767,0.041,0.735,0.469,0.150,0.202,0.586
0.618,0.396,0.435,0.479,0.150,0.616,0.167
0.571,0.064,0.343,0.490,0.150,0.693,0.105
0.476,0.265,0.152,0.500,0.150,0.940,0.009
0.656,0.374,0.511,0.510,0.150,0.549,0.231
0.678,0.065,0.556,0.521,0.150,0.469,0.295
0.552,0.491,0.304,0.531,0.150,0.799,0.061
0.523,0.358,0.245,0.542,0.150,0.850,0.037
0.748,0.315,0.696,0.552,0.150,0.343,0.457
0.793,0.099,0.786,0.562,0.150,0.215,0.617
0.778,0.095,0.755,0.573,0.150,0.242,0.572
0.577,0.321,0.354,0.583,0.150,0.716,0.101
0.753,0.152,0.705,0.594,0.150,0.284,0.505
0.792,0.273,0.785,0.604,0.150,0.191,0.635
0.659,0.107,0.517,0.615,0.150,0.472,0.273
0.467,0.036,0.134,0.625,0.150,0.919,0.011
0.547,0.294,0.295,0.635,0.150,0.743,0.076
0.686,0.374,0.573,0.646,0.150,0.376,0.357
0.449,0.296,0.098,0.656,0.150,0.984,0.002
0.626,0.051,0.453,0.667,0.150,0.440,0.253
0.568,0.005,0.335,0.677,0.150,0.576,0.142
0.677,0.305,0.553,0.687,0.150,0.252,0.414
0.510,0.359,0.221,0.698,0.150,0.762,0.052
0.565,0.103,0.331,0.708,0.150,0.497,0.166
0.455,0.262,0.109,0.719,0.150,0.904,0.010
0.483,0.027,0.166,0.729,0.150,0.719,0.047
0.608,0.011,0.416,0.740,0.150,0.104,0.372
0.560,0.336,0.320,0.750,0.150,0.316,0.219
0.576,0.471,0.351,0.760,0.150,0.158,0.296
0.441,0.195,0.082,0.771,0.150,0.818,0.015
0.538,0.328,0.276,0.781,0.150,0.041,0.264
0.444,0.483,0.088,0.792,0.150,0.791,0.018
0.439,0.212,0.078,0.802,0.150,0.573,0.033
0.407,0.251,0.013,0.812,0.150,0.984,0.000
0.418,0.072,0.037,0.823,0.150,0.056,0.035
0.400,0.147,0.000,0.833,0.150,0.407,0.000
0.402,0.291,0.004,0.844,0.150,0.860,0.001
0.400,0.043,0.000,0.854,0.150,0.357,0.000
0.400,0.029,0.000,0.865,0.150,0.969,0.000
0.400,0.060,0.000,0.875,0.150,0.948,0.000
0.400,0.112,0.000,0.885,0.150,0.417,0.000
0.400,0.229,0.000,0.896,0.150,0.797,0.000
0.400,0.015,0.000,0.906,0.150,0.082,0.000
0.408,0.412,0.016,0.917,0.150,0.895,0.002
0.408,0.411,0.016,0.927,0.150,0.147,0.014
0.406,0.372,0.012,0.937,0.150,0.891,0.001
0.400,0.239,0.000,0.948,0.150,0.432,0.000
0.406,0.372,0.012,0.958,0.150,0.485,0.006
0.400,0.106,0.000,0.969,0.150,0.046,0.000
